Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,18375
design__instance__area,339442
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,163
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,29
design__max_cap_violation__count__corner:nom_tt_025C_3v30,36
power__internal__total,0.00885222852230072
power__switching__total,0.007944718934595585
power__leakage__total,9.080195013666525E-7
power__total,0.016797853633761406
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.4388192988741561
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.4420846869265351
timing__hold__ws__corner:nom_tt_025C_3v30,0.8839422777269604
timing__setup__ws__corner:nom_tt_025C_3v30,9.788511611656409
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.883942
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,9.788511
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,1963
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,29
design__max_cap_violation__count__corner:nom_ss_125C_3v00,36
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.6008269607455103
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.6040981219577807
timing__hold__ws__corner:nom_ss_125C_3v00,2.0646223093327905
timing__setup__ws__corner:nom_ss_125C_3v00,-19.629702863231955
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-1571.0698324751124
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-19.629702863231955
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.064622
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,220
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-19.629704
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,213
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,29
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,36
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.3668261076501141
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.37010692780297183
timing__hold__ws__corner:nom_ff_n40C_3v60,0.38347159866235886
timing__setup__ws__corner:nom_ff_n40C_3v60,22.356238382209607
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.383472
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,22.356239
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,2553
design__max_fanout_violation__count,29
design__max_cap_violation__count,47
clock__skew__worst_hold,-0.3506117440061
clock__skew__worst_setup,0.35347045735305727
timing__hold__ws,0.3792755106221146
timing__setup__ws,-22.58995188182253
timing__hold__tns,0.0
timing__setup__tns,-1927.446473870512
timing__hold__wns,0
timing__setup__wns,-22.58995188182253
timing__hold_vio__count,0
timing__hold_r2r__ws,0.379276
timing__hold_r2r_vio__count,0
timing__setup_vio__count,653
timing__setup_r2r__ws,-22.589952
timing__setup_r2r_vio__count,632
design__die__bbox,0.0 0.0 1075.76 325.36
design__core__bbox,3.36 3.92 1072.4 321.44
design__io,45
design__die__area,350009
design__core__area,339442
design__instance__count__stdcell,9153
design__instance__area__stdcell,200073
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.589417
design__instance__utilization__stdcell,0.589417
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,154629
design__sites:GF018hv5v_mcu_sc7,154629
design__instance__count__class:tie_cell,8
design__instance__area__class:tie_cell,70.2464
design__instance__count__class:buffer,6
design__instance__area__class:buffer,105.37
design__instance__count__class:inverter,280
design__instance__area__class:inverter,2537.65
design__instance__count__class:sequential_cell,542
design__instance__area__class:sequential_cell,35000.3
design__instance__count__class:multi_input_combinational_cell,4318
design__instance__area__class:multi_input_combinational_cell,107725
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,2245
design__instance__area__class:tap_cell,9856.45
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,15280.8
design__instance__displacement__mean,1.6695
design__instance__displacement__max,47.04
route__wirelength__estimated,448954
design__violations,0
design__instance__count__class:timing_repair_buffer,1529
design__instance__area__class:timing_repair_buffer,41129.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,45
design__instance__area__class:clock_buffer,2568.38
design__instance__count__class:clock_inverter,16
design__instance__area__class:clock_inverter,360.013
design__instance__count__setup_buffer,148
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,1001
global_route__vias,13
global_route__wirelength,846493
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,8.7808
route__net,6737
route__net__special,2
route__drc_errors__iter:0,5
route__wirelength__iter:0,538675
route__drc_errors__iter:1,0
route__wirelength__iter:1,538669
route__drc_errors__iter:2,2480
route__wirelength__iter:2,537808
route__drc_errors__iter:3,1154
route__wirelength__iter:3,538364
route__drc_errors__iter:4,816
route__wirelength__iter:4,538464
route__drc_errors__iter:5,575
route__wirelength__iter:5,538532
route__drc_errors__iter:6,363
route__wirelength__iter:6,538564
route__drc_errors__iter:7,313
route__wirelength__iter:7,538605
route__drc_errors__iter:8,267
route__wirelength__iter:8,538493
