Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,146
design__inferred_latch__count,0
design__instance__count,28202
design__instance__area,454361
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,579
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,112
design__max_cap_violation__count__corner:nom_tt_025C_3v30,3
power__internal__total,0.018330160528421402
power__switching__total,0.0077552469447255135
power__leakage__total,0.0000015189671103144065
power__total,0.026086924597620964
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.42496737887105634
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.4026407932144055
timing__hold__ws__corner:nom_tt_025C_3v30,0.5800253774786146
timing__setup__ws__corner:nom_tt_025C_3v30,1.554983741338456
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.580025
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,1.554984
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,7322
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,112
design__max_cap_violation__count__corner:nom_ss_125C_3v00,3
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.585640885695986
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.5378382336173543
timing__hold__ws__corner:nom_ss_125C_3v00,1.4587997889243927
timing__setup__ws__corner:nom_ss_125C_3v00,-36.33927039915516
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-18044.875615604808
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-36.33927039915516
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.458800
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,974
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-36.339272
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,962
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,15
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,112
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,3
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.3604600886468701
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.34260237283532874
timing__hold__ws__corner:nom_ff_n40C_3v60,0.2083279163700058
timing__setup__ws__corner:nom_ff_n40C_3v60,7.1192369570162715
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.208328
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,9.232940
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,8388
design__max_fanout_violation__count,112
design__max_cap_violation__count,9
clock__skew__worst_hold,-0.3452769001772915
clock__skew__worst_setup,0.33178202790900924
timing__hold__ws,0.20750313166168527
timing__setup__ws,-39.23473923469438
timing__hold__tns,0.0
timing__setup__tns,-20164.316653823236
timing__hold__wns,0
timing__setup__wns,-39.23473923469438
timing__hold_vio__count,0
timing__hold_r2r__ws,0.207503
timing__hold_r2r_vio__count,0
timing__setup_vio__count,2910
timing__setup_r2r__ws,-39.234737
timing__setup_r2r_vio__count,2875
design__die__bbox,0.0 0.0 1440.32 325.36
design__core__bbox,3.36 3.92 1436.96 321.44
design__io,53
design__die__area,468623
design__core__area,455197
design__instance__count__stdcell,15698
design__instance__area__stdcell,343048
design__instance__count__macros,1
design__instance__area__macros,3730.78
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.761823
design__instance__utilization__stdcell,0.759854
design__rows,97
design__rows:GF018hv5v_mcu_sc7,97
design__sites,205280
design__sites:GF018hv5v_mcu_sc7,205280
design__instance__count__class:macro,1
design__instance__area__class:macro,3730.78
design__instance__count__class:tie_cell,8
design__instance__area__class:tie_cell,70.2464
design__instance__count__class:buffer,157
design__instance__area__class:buffer,3784.52
design__instance__count__class:inverter,543
design__instance__area__class:inverter,4956.76
design__instance__count__class:sequential_cell,1837
design__instance__area__class:sequential_cell,117933
design__instance__count__class:multi_input_combinational_cell,7473
design__instance__area__class:multi_input_combinational_cell,153785
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,17
flow__warnings__count:ORD-2011,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,194
design__instance__area__class:endcap_cell,851.738
design__instance__count__class:tap_cell,3028
design__instance__area__class:tap_cell,13294.1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,634.619
design__instance__displacement__mean,0.04
design__instance__displacement__max,22.4
route__wirelength__estimated,611601
design__violations,0
design__instance__count__class:timing_repair_buffer,2222
design__instance__area__class:timing_repair_buffer,37463.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,8
design__instance__count__class:clock_buffer,190
design__instance__area__class:clock_buffer,10212.1
design__instance__count__class:clock_inverter,37
design__instance__area__class:clock_inverter,658.56
design__instance__count__setup_buffer,2
design__instance__count__hold_buffer,0
global_route__vias,30
global_route__wirelength,1026085
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,2
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,9
design__instance__area__class:antenna_cell,39.5136
route__net,12402
route__net__special,2
route__drc_errors__iter:0,56
route__wirelength__iter:0,691672
route__drc_errors__iter:1,2
route__wirelength__iter:1,691618
route__drc_errors__iter:2,2
route__wirelength__iter:2,691609
route__drc_errors__iter:3,0
route__wirelength__iter:3,691617
route__drc_errors__iter:4,115
route__wirelength__iter:4,691629
route__drc_errors__iter:5,52
route__wirelength__iter:5,691695
route__drc_errors__iter:6,1
route__wirelength__iter:6,691596
