Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,32
design__inferred_latch__count,0
design__instance__count,3545
design__instance__area,76450
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,17
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,9
design__max_cap_violation__count__corner:nom_tt_025C_3v30,4
power__internal__total,0.006836253218352795
power__switching__total,0.005933323875069618
power__leakage__total,3.320517691918212E-7
power__total,0.01276990957558155
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3223841007620682
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.32488698761956963
timing__hold__ws__corner:nom_tt_025C_3v30,1.0514778234609894
timing__setup__ws__corner:nom_tt_025C_3v30,15.808078848929616
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.051478
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,15.808079
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,325
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,9
design__max_cap_violation__count__corner:nom_ss_125C_3v00,4
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.38858670159280373
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3892574983632537
timing__hold__ws__corner:nom_ss_125C_3v00,2.3782678721764667
timing__setup__ws__corner:nom_ss_125C_3v00,-7.410928969150121
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-49.640115645274406
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-7.410928969150121
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.378268
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,13
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-7.410929
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,13
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,9
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,4
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2980456799055955
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2985828058201001
timing__hold__ws__corner:nom_ff_n40C_3v60,0.49378980080266904
timing__setup__ws__corner:nom_ff_n40C_3v60,25.645253757577688
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.493790
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,25.645254
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,449
design__max_fanout_violation__count,9
design__max_cap_violation__count,11
clock__skew__worst_hold,-0.2925151037520099
clock__skew__worst_setup,0.29251765726503876
timing__hold__ws,0.49170724439417846
timing__setup__ws,-8.947449256977668
timing__hold__tns,0.0
timing__setup__tns,-62.68563090479071
timing__hold__wns,0
timing__setup__wns,-8.947449256977668
timing__hold_vio__count,0
timing__hold_r2r__ws,0.491707
timing__hold_r2r_vio__count,0
timing__setup_vio__count,39
timing__setup_r2r__ws,-8.947450
timing__setup_r2r_vio__count,39
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,3545
design__instance__area__stdcell,76450
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.708321
design__instance__utilization__stdcell,0.708321
design__instance__count__class:tie_cell,15
design__instance__count__class:buffer,3
design__instance__count__class:inverter,104
design__instance__count__class:sequential_cell,145
design__instance__count__class:multi_input_combinational_cell,2033
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,162
design__instance__count__class:tap_cell,705
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,125491
design__violations,0
design__instance__count__class:timing_repair_buffer,345
design__instance__count__class:clock_buffer,19
design__instance__count__class:clock_inverter,13
design__instance__count__setup_buffer,66
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
route__net,2681
route__net__special,2
route__drc_errors__iter:1,1283
route__wirelength__iter:1,162878
route__drc_errors__iter:2,554
route__wirelength__iter:2,161507
route__drc_errors__iter:3,547
route__wirelength__iter:3,160710
route__drc_errors__iter:4,305
route__wirelength__iter:4,160714
route__drc_errors__iter:5,169
route__wirelength__iter:5,160762
route__drc_errors__iter:6,114
route__wirelength__iter:6,160823
route__drc_errors__iter:7,82
route__wirelength__iter:7,160965
route__drc_errors__iter:8,65
route__wirelength__iter:8,160928
route__drc_errors__iter:9,44
route__wirelength__iter:9,160956
route__drc_errors__iter:10,30
route__wirelength__iter:10,160982
route__drc_errors__iter:11,21
route__wirelength__iter:11,160981
route__drc_errors__iter:12,2
route__wirelength__iter:12,161006
route__drc_errors__iter:13,0
route__wirelength__iter:13,161009
route__drc_errors,0
route__wirelength,161009
route__vias,20739
route__vias__singlecut,20739
route__vias__multicut,0
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,1151.04
design__instance__count__class:fill_cell,2903
timing__unannotated_net__count__corner:nom_tt_025C_3v30,32
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,32
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,32
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,9
design__max_fanout_violation__count__corner:min_tt_025C_3v30,9
design__max_cap_violation__count__corner:min_tt_025C_3v30,2
