Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,11
design__inferred_latch__count,0
design__instance__count,62508
design__instance__area,1.04527E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,157
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,171
design__max_cap_violation__count__corner:nom_tt_025C_3v30,176
power__internal__total,0.01518943440169096
power__switching__total,0.0054639833979308605
power__leakage__total,0.0000031337619930127403
power__total,0.02065655030310154
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.40480239750448505
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.40561263829077165
timing__hold__ws__corner:nom_tt_025C_3v30,0.9706915546109285
timing__setup__ws__corner:nom_tt_025C_3v30,13.626817393509347
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.970692
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,13.626818
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,1457
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,171
design__max_cap_violation__count__corner:nom_ss_125C_3v00,181
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.5370091190391153
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.5379967734697546
timing__hold__ws__corner:nom_ss_125C_3v00,2.2280058428818994
timing__setup__ws__corner:nom_ss_125C_3v00,-33.578865083362764
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-4872.91631682613
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-33.578865083362764
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.228006
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,631
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-33.578865
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,631
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,171
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,177
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.3492639332160864
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.3500775046715411
timing__hold__ws__corner:nom_ff_n40C_3v60,0.41707927181357934
timing__setup__ws__corner:nom_ff_n40C_3v60,33.26477676356434
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.417079
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,33.264778
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,1866
design__max_fanout_violation__count,171
design__max_cap_violation__count,261
clock__skew__worst_hold,-0.33326006786349455
clock__skew__worst_setup,0.3339600635003179
timing__hold__ws,0.4143490112742041
timing__setup__ws,-36.999702127154066
timing__hold__tns,0.0
timing__setup__tns,-6489.2225980573985
timing__hold__wns,0
timing__setup__wns,-36.999702127154066
timing__hold_vio__count,0
timing__hold_r2r__ws,0.414349
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1878
timing__setup_r2r__ws,-36.999702
timing__setup_r2r_vio__count,1878
design__die__bbox,0.0 0.0 1440.32 736.96
design__core__bbox,3.36 3.92 1436.96 733.04
design__io,45
design__die__area,1.06146E+6
design__core__area,1.04527E+6
design__instance__count__stdcell,27537
design__instance__area__stdcell,648633
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.620544
design__instance__utilization__stdcell,0.620544
design__rows,186
design__rows:GF018hv5v_mcu_sc7,186
design__sites,476160
design__sites:GF018hv5v_mcu_sc7,476160
design__instance__count__class:tie_cell,4
design__instance__area__class:tie_cell,35.1232
design__instance__count__class:buffer,39
design__instance__area__class:buffer,961.498
design__instance__count__class:inverter,1454
design__instance__area__class:inverter,14751.7
design__instance__count__class:sequential_cell,2724
design__instance__area__class:sequential_cell,206388
design__instance__count__class:multi_input_combinational_cell,13339
design__instance__area__class:multi_input_combinational_cell,302463
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,372
design__instance__area__class:endcap_cell,1633.23
design__instance__count__class:tap_cell,6866
design__instance__area__class:tap_cell,30144.5
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,2370
design__instance__area__class:timing_repair_buffer,76919.8
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1.23585E+6
design__violations,0
design__instance__count__class:clock_buffer,256
design__instance__area__class:clock_buffer,13570.7
design__instance__count__class:clock_inverter,84
design__instance__area__class:clock_inverter,1637.62
design__instance__count__setup_buffer,227
design__instance__count__hold_buffer,0
global_route__vias,114
global_route__wirelength,2031876
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,9
design__instance__count__class:antenna_cell,29
design__instance__area__class:antenna_cell,127.322
route__net,20133
route__net__special,2
route__drc_errors__iter:0,141
route__wirelength__iter:0,1503699
route__drc_errors__iter:1,32
route__wirelength__iter:1,1503692
route__drc_errors__iter:2,13
route__wirelength__iter:2,1503692
route__drc_errors__iter:3,0
route__wirelength__iter:3,1503714
route__drc_errors__iter:4,0
route__wirelength__iter:4,1504869
route__drc_errors,0
route__wirelength,1503714
route__vias,147678
route__vias__singlecut,147678
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,2204.56
design__instance__count__class:fill_cell,34971
design__instance__area__class:fill_cell,396633
timing__unannotated_net__count__corner:nom_tt_025C_3v30,161
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,161
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
