Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,5124
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.012591803446412086
power__switching__total,0.007427698001265526
power__leakage__total,2.6325687940698117E-7
power__total,0.020019764080643654
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2778980180186982
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2761077833408588
timing__hold__ws__corner:nom_tt_025C_3v30,0.758778394926103
timing__setup__ws__corner:nom_tt_025C_3v30,4.050615957302598
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.758778
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,4.050616
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,141
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.306263884033205
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.30163070117580393
timing__hold__ws__corner:nom_ss_125C_3v00,1.800638356052753
timing__setup__ws__corner:nom_ss_125C_3v00,-12.067923890656795
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-461.00460220763415
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-12.067923890656795
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.800638
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,67
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-12.067924
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,59
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2655571671060004
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.26592581667175336
timing__hold__ws__corner:nom_ff_n40C_3v60,0.32553427541680824
timing__setup__ws__corner:nom_ff_n40C_3v60,10.833526382619059
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.325534
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,10.833527
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,198
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2643544069582564
clock__skew__worst_setup,0.2645380378517228
timing__hold__ws,0.3238734927473014
timing__setup__ws,-12.83362608064949
timing__hold__tns,0.0
timing__setup__tns,-493.49326022440493
timing__hold__wns,0
timing__setup__wns,-12.83362608064949
timing__hold_vio__count,0
timing__hold_r2r__ws,0.323873
timing__hold_r2r_vio__count,0
timing__setup_vio__count,208
timing__setup_r2r__ws,-12.833626
timing__setup_r2r_vio__count,176
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,2591
design__instance__area__stdcell,58693.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.5438
design__instance__utilization__stdcell,0.5438
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,20
design__instance__area__class:tie_cell,175.616
design__instance__count__class:buffer,4
design__instance__area__class:buffer,70.2464
design__instance__count__class:inverter,108
design__instance__area__class:inverter,1009.79
design__instance__count__class:sequential_cell,188
design__instance__area__class:sequential_cell,14220.5
design__instance__count__class:multi_input_combinational_cell,1159
design__instance__area__class:multi_input_combinational_cell,29738.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2593.44
design__instance__displacement__mean,1.0005
design__instance__displacement__max,24.08
route__wirelength__estimated,63706.7
design__violations,0
design__instance__count__class:timing_repair_buffer,184
design__instance__area__class:timing_repair_buffer,4926.03
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,61
design__instance__area__class:clock_buffer,4746.02
design__instance__count__setup_buffer,21
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,1
global_route__vias,13082
global_route__wirelength,109267
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1731
route__net__special,2
route__drc_errors__iter:0,288
route__wirelength__iter:0,67821
route__drc_errors__iter:1,34
route__wirelength__iter:1,67081
route__drc_errors__iter:2,24
route__wirelength__iter:2,67011
route__drc_errors__iter:3,0
route__wirelength__iter:3,66993
route__drc_errors,0
route__wirelength,66993
route__vias,11083
route__vias__singlecut,11083
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,646.54
design__instance__count__class:fill_cell,2533
design__instance__area__class:fill_cell,49238.3
timing__unannotated_net__count__corner:nom_tt_025C_3v30,20
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,20
