Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2659
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.0018364223651587963
power__switching__total,0.0011861200910061598
power__leakage__total,1.4989224439432292E-7
power__total,0.003022692399099469
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2727552982897347
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2692968424479131
timing__hold__ws__corner:nom_tt_025C_3v30,1.0624582625519876
timing__setup__ws__corner:nom_tt_025C_3v30,8.340163462581431
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.062458
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,8.340163
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,204
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.29182065923046663
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.28356437445203553
timing__hold__ws__corner:nom_ss_125C_3v00,2.18352631045456
timing__setup__ws__corner:nom_ss_125C_3v00,6.562065299101308
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.183526
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,6.562065
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.26651182015629943
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.264045792704258
timing__hold__ws__corner:nom_ff_n40C_3v60,0.49381566899987445
timing__setup__ws__corner:nom_ff_n40C_3v60,9.083222431301895
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.493816
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,9.083222
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,238
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.26444486238174597
clock__skew__worst_setup,0.26241953797179346
timing__hold__ws,0.4884739417881186
timing__setup__ws,6.5536240511617425
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.488474
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.553624
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1736
design__instance__area__stdcell,37922.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.729734
design__instance__utilization__stdcell,0.729734
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,9
design__instance__area__class:tie_cell,79.0272
design__instance__count__class:buffer,2
design__instance__area__class:buffer,35.1232
design__instance__count__class:inverter,86
design__instance__area__class:inverter,755.149
design__instance__count__class:sequential_cell,180
design__instance__area__class:sequential_cell,11546.8
design__instance__count__class:multi_input_combinational_cell,863
design__instance__area__class:multi_input_combinational_cell,16106.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,47514.2
design__violations,0
design__instance__count__class:timing_repair_buffer,112
design__instance__area__class:timing_repair_buffer,2836.2
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,58
design__instance__area__class:clock_buffer,4693.34
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,10011
global_route__wirelength,84310
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1320
route__net__special,2
route__drc_errors__iter:0,333
route__wirelength__iter:0,53909
route__drc_errors__iter:1,112
route__wirelength__iter:1,52994
route__drc_errors__iter:2,71
route__wirelength__iter:2,52724
route__drc_errors__iter:3,0
route__wirelength__iter:3,52593
route__drc_errors,0
route__wirelength,52593
route__vias,8610
route__vias__singlecut,8610
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,11
design__critical_disconnected_pin__count,0
route__wirelength__max,562.28
design__instance__count__class:fill_cell,923
design__instance__area__class:fill_cell,14044.9
flow__warnings__count:DPL-0028,5
timing__unannotated_net__count__corner:nom_tt_025C_3v30,20
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,20
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,20
