Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,22
design__inferred_latch__count,0
design__instance__count,6141
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,11
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,29
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.009127712808549404
power__switching__total,0.0032790224067866802
power__leakage__total,3.6725680274685146E-7
power__total,0.012407101690769196
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.298887228982062
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.30333722503521904
timing__hold__ws__corner:nom_tt_025C_3v30,0.5982827735903248
timing__setup__ws__corner:nom_tt_025C_3v30,6.640230775405318
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.598283
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,7.507127
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,642
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,29
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.3395732402492717
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.350966127205583
timing__hold__ws__corner:nom_ss_125C_3v00,1.4961845519345136
timing__setup__ws__corner:nom_ss_125C_3v00,-4.287455845041283
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-402.70959973239184
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-4.287455845041283
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.496185
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,271
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-4.287456
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,235
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,29
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.280284331455317
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.28261002671307695
timing__hold__ws__corner:nom_ff_n40C_3v60,0.22482083497877642
timing__setup__ws__corner:nom_ff_n40C_3v60,10.401631850256667
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.224821
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,12.559148
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,743
design__max_fanout_violation__count,29
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2783517661816953
clock__skew__worst_setup,0.28003153366546024
timing__hold__ws,0.22363589391108157
timing__setup__ws,-5.217352031413983
timing__hold__tns,0.0
timing__setup__tns,-578.4852582917287
timing__hold__wns,0
timing__setup__wns,-5.217352031413983
timing__hold_vio__count,0
timing__hold_r2r__ws,0.223636
timing__hold_r2r_vio__count,0
timing__setup_vio__count,817
timing__setup_r2r__ws,-5.217352
timing__setup_r2r_vio__count,691
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,4040
design__instance__area__stdcell,95390.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.883804
design__instance__utilization__stdcell,0.883804
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,18
design__instance__area__class:tie_cell,158.054
design__instance__count__class:buffer,7
design__instance__area__class:buffer,122.931
design__instance__count__class:inverter,233
design__instance__area__class:inverter,2111.78
design__instance__count__class:sequential_cell,470
design__instance__area__class:sequential_cell,34348.3
design__instance__count__class:multi_input_combinational_cell,1986
design__instance__area__class:multi_input_combinational_cell,42119.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,5316.31
design__instance__displacement__mean,1.3155
design__instance__displacement__max,39.76
route__wirelength__estimated,123496
design__violations,0
design__instance__count__class:timing_repair_buffer,397
design__instance__area__class:timing_repair_buffer,9865.23
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,43
design__instance__area__class:clock_buffer,2585.95
design__instance__count__class:clock_inverter,19
design__instance__area__class:clock_inverter,272.205
design__instance__count__setup_buffer,21
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,25546
global_route__wirelength,217812
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3164
route__net__special,2
route__drc_errors__iter:0,910
route__wirelength__iter:0,139193
route__drc_errors__iter:1,266
route__wirelength__iter:1,137745
route__drc_errors__iter:2,212
route__wirelength__iter:2,137197
route__drc_errors__iter:3,5
route__wirelength__iter:3,137058
route__drc_errors__iter:4,0
route__wirelength__iter:4,137055
route__drc_errors,0
route__wirelength,137055
route__vias,22531
route__vias__singlecut,22531
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,448.15
design__instance__count__class:fill_cell,2101
design__instance__area__class:fill_cell,12541.2
timing__unannotated_net__count__corner:nom_tt_025C_3v30,41
